StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2_1,Q2_2,Q5,Q5_3_TEXT,Q3,Q3_3_TEXT
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Have you ever been trolled on Facebook?,"If Yes, how much were you affected by that incident (In case of multiple incidents, consider the one that was most traumatizing ) - Degree of emotional hurt","If Yes, how much were you affected by that incident (In case of multiple incidents, consider the one that was most traumatizing ) - Degree of anger",What was the gender of the person who trolled you? - Selected Choice,What was the gender of the person who trolled you? - Other - Text,Your Gender - Selected Choice,Your Gender - Other - Text
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_3_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_3_TEXT""}"
2018-04-15 08:15:35,2018-04-15 08:15:52,0,68.51.124.35,100,17,1,2018-04-15 08:15:53,R_2PCrdeFQINMfWFd,,,,,39.083602905273,-86.432098388672,anonymous,EN,2,6,6,5,,2,
2018-04-15 08:31:30,2018-04-15 08:32:56,0,146.227.0.34,100,85,1,2018-04-15 08:32:56,R_YXOkfBk9nv9de6J,,,,,52.63330078125,-1.13330078125,anonymous,EN,1,4,4,1,,2,
2018-04-15 08:46:01,2018-04-15 08:46:49,0,86.150.34.2,100,47,1,2018-04-15 08:46:49,R_s6WYrvIEpIJAFX3,,,,,54.046493530273,-2.7996978759766,anonymous,EN,1,2,3,2,,2,
2018-04-15 09:16:03,2018-04-15 09:16:16,0,71.121.235.14,100,12,1,2018-04-15 09:16:16,R_2QFjrDe4OGM76cP,,,,,39.25700378418,-76.79460144043,anonymous,EN,2,5,5,1,,1,
2018-04-15 09:40:50,2018-04-15 09:41:06,0,77.173.102.102,100,16,1,2018-04-15 09:41:06,R_RQzjCMhKzMuckfL,,,,,51.927093505859,4.4904937744141,anonymous,EN,2,6,6,5,,2,
2018-04-15 09:57:24,2018-04-15 09:57:37,0,71.197.216.225,100,12,1,2018-04-15 09:57:37,R_22mGwPIZCKzjuy1,,,,,47.720504760742,-122.20669555664,anonymous,EN,2,6,6,5,,1,
2018-04-15 11:27:33,2018-04-15 11:27:46,0,168.122.217.134,100,13,1,2018-04-15 11:27:47,R_3O6tOQLqqSXToi1,,,,,42.345092773438,-71.099296569824,anonymous,EN,2,6,6,5,,2,
2018-04-15 12:05:32,2018-04-15 12:05:49,0,216.98.70.62,100,17,1,2018-04-15 12:05:50,R_2D0K7EA1g8RlmHE,,,,,37.417007446289,-79.913101196289,anonymous,EN,2,6,6,5,,1,
2018-04-15 14:57:05,2018-04-15 14:57:26,0,83.250.84.167,100,21,1,2018-04-15 14:57:26,R_2BtFWSFblB0SQff,,,,,56.050003051758,12.699996948242,anonymous,EN,1,3,2,2,,2,
2018-04-15 15:09:07,2018-04-15 15:09:45,0,217.155.201.130,100,38,1,2018-04-15 15:09:45,R_3RjVcWPPRM8OxH8,,,,,51.416702270508,-0.13330078125,anonymous,EN,2,6,6,5,,2,
2018-04-15 15:53:41,2018-04-15 15:53:54,0,104.2.246.124,100,12,1,2018-04-15 15:53:54,R_12GqHb3kmXvqq0n,,,,,26.348403930664,-80.218696594238,anonymous,EN,1,2,1,1,,2,
2018-04-15 19:49:32,2018-04-15 19:49:52,0,85.210.12.94,100,19,1,2018-04-15 19:49:52,R_333EFtEPwMvRtZE,,,,,50.833297729492,-0.14999389648438,anonymous,EN,1,5,4,1,,1,
2018-04-15 20:55:24,2018-04-15 20:56:02,0,66.69.196.219,100,38,1,2018-04-15 20:56:03,R_1MTlbgz1h74YNbO,,,,,29.989303588867,-97.857200622559,anonymous,EN,2,6,6,5,,2,
2018-04-15 21:42:27,2018-04-15 21:43:10,0,97.93.179.5,100,43,1,2018-04-15 21:43:10,R_1rML5X9L7sxJhAh,,,,,33.146392822266,-97.090202331543,anonymous,EN,2,6,6,5,,2,
2018-04-15 23:32:48,2018-04-15 23:33:02,0,156.12.211.61,100,13,1,2018-04-15 23:33:02,R_1FIFcoOFxfGdNqr,,,,,40.063598632812,-75.079696655273,anonymous,EN,2,6,6,5,,1,
2018-04-17 02:56:38,2018-04-17 02:57:09,0,71.71.113.116,100,30,1,2018-04-17 02:57:09,R_WoIHTE5vZb3ymv7,,,,,35.803207397461,-79.982696533203,anonymous,EN,1,5,5,1,,1,
2018-04-17 06:04:09,2018-04-17 06:04:43,0,106.210.169.196,100,33,1,2018-04-17 06:04:43,R_1yMAIQ6yYxGDx2p,,,,,18.533294677734,73.86669921875,anonymous,EN,1,3,3,1,,2,
2018-04-17 06:11:26,2018-04-17 06:12:01,0,49.15.32.33,100,35,1,2018-04-17 06:12:02,R_339JVUtN5NndrG3,,,,,18.533294677734,73.86669921875,anonymous,EN,2,6,6,5,,1,
2018-04-17 06:11:46,2018-04-17 06:12:10,0,110.227.162.86,100,23,1,2018-04-17 06:12:10,R_1nNEUWCFlkARMz0,,,,,28.666702270508,77.216705322266,anonymous,EN,2,6,6,5,,2,
2018-04-17 06:11:49,2018-04-17 06:12:15,0,49.35.79.172,100,25,1,2018-04-17 06:12:15,R_3HBsp1mZto5isvj,,,,,16.699996948242,74.216705322266,anonymous,EN,2,6,6,5,,1,
2018-04-17 06:15:31,2018-04-17 06:16:05,0,42.107.65.229,100,34,1,2018-04-17 06:16:05,R_bvWTSjHrdtlTgGZ,,,,,18.533294677734,73.86669921875,anonymous,EN,1,2,1,1,,1,
2018-04-17 06:21:41,2018-04-17 06:22:52,0,106.223.82.29,100,70,1,2018-04-17 06:22:52,R_2EHpYsFMgD7qGLu,,,,,28.600006103516,77.200012207031,anonymous,EN,2,6,6,5,,2,
2018-04-17 06:26:03,2018-04-17 06:27:33,0,47.247.78.238,100,90,1,2018-04-17 06:27:34,R_2WT4KnQeLS1uySk,,,,,21.233306884766,81.63330078125,anonymous,EN,2,6,6,5,,1,
2018-04-17 06:34:47,2018-04-17 06:35:15,0,68.51.124.35,100,27,1,2018-04-17 06:35:15,R_2gjoeeTHnHsmRDH,,,,,39.083602905273,-86.432098388672,anonymous,EN,1,3,3,4,,1,
2018-04-17 06:35:04,2018-04-17 06:35:30,0,80.121.72.28,100,25,1,2018-04-17 06:35:31,R_3kcEwDPH1vjAMZM,,,,,48.300003051758,14.300003051758,anonymous,EN,1,3,2,2,,2,
2018-04-17 06:38:54,2018-04-17 06:39:28,0,212.116.77.205,100,33,1,2018-04-17 06:39:28,R_21jJJeEjJR6JxCF,,,,,56.050003051758,12.699996948242,anonymous,EN,2,6,6,5,,1,
2018-04-17 06:48:49,2018-04-17 06:49:32,0,59.94.240.5,100,42,1,2018-04-17 06:49:32,R_snzxHmnrkwbVXxf,,,,,21.149993896484,79.100006103516,anonymous,EN,2,6,6,5,,2,
2018-04-17 07:01:14,2018-04-17 07:01:46,0,49.15.53.62,100,31,1,2018-04-17 07:01:46,R_u37g00Ay7d8h94J,,,,,18.975006103516,72.825805664062,anonymous,EN,2,6,6,5,,1,
2018-04-17 07:15:52,2018-04-17 07:16:44,0,31.132.80.126,100,52,1,2018-04-17 07:16:44,R_1JCri2cbs4xZoM2,,,,,43.256500244141,76.928497314453,anonymous,EN,2,6,6,5,,1,
2018-04-17 07:21:05,2018-04-17 07:21:54,0,183.82.134.229,100,48,1,2018-04-17 07:21:54,R_2v0WlstgUnIcFDN,,,,,17.375305175781,78.474395751953,anonymous,EN,1,2,2,2,,1,
2018-04-17 07:46:01,2018-04-17 07:47:09,0,116.109.151.44,100,67,1,2018-04-17 07:47:09,R_1LGtHILHU3QTkKn,,,,,10.814193725586,106.64379882812,anonymous,EN,1,3,1,1,,1,
2018-04-17 07:56:27,2018-04-17 07:57:02,0,27.97.30.76,100,35,1,2018-04-17 07:57:02,R_31TW13bRYyHqqqB,,,,,9.9833068847656,76.283294677734,anonymous,EN,1,1,2,1,,1,
2018-04-17 08:01:09,2018-04-17 08:01:58,0,223.184.131.44,100,48,1,2018-04-17 08:01:58,R_Accwb9dt6FJQTHb,,,,,22.716705322266,75.833297729492,anonymous,EN,2,6,6,5,,2,
2018-04-17 08:15:33,2018-04-17 08:17:30,0,86.187.160.114,100,117,1,2018-04-17 08:17:30,R_2pLhN0MHgoiXH3d,,,,,51.483306884766,-0.18330383300781,anonymous,EN,2,3,2,4,,2,
2018-04-17 08:46:15,2018-04-17 08:46:50,0,82.98.7.196,100,34,1,2018-04-17 08:46:50,R_shR3KDnEafSbohX,,,,,45.745193481445,4.8419952392578,anonymous,EN,1,4,3,4,,1,
